verb,x,y
retort,64.00012522,-40.34718004
lecture,51.56288405,-33.61085934
rhyme,64.90869261,-48.01693683
tune,62.70125279,-53.09084626
host,59.23445908,-55.62184489
pop,61.96326486,-54.41847297
spell,64.71451465,-40.65145041
band,60.71974655,-55.36776326
rock,61.45854471,-55.14792081
pronounce,65.17067919,-40.23524805
dance,61.8293165,-54.83146575
audition,50.75019991,-31.70289418
rap,61.73428777,-55.92522815
segue,63.53808277,-52.8947536
page,38.52312996,-47.89939391
interview,50.39458735,-31.1009327
number,38.11820435,-47.84461035
chart,38.00597239,-48.01284102
list,37.84539142,-48.21549394
map,37.79736617,-48.11088038
contact,49.78255048,-30.22388599
chronicle,62.59175765,-36.55871402
lament,62.59655485,-36.55815899
couple,37.60931765,-50.09471843
spy,39.32004599,-47.31881319
search,38.61314996,-46.38592932
link,37.93537724,-44.85726346
glimpse,37.85907559,-52.86570295
draft,35.58850927,-47.01347867
provide,-2.819312697,11.75456292
employ,-1.346552871,10.45471146
deliver,-0.678727977,14.70853984
produce,-1.240459781,14.6293992
contain,-1.695005826,13.47549603
receive,-6.415133649,9.634234795
earn,-6.563713558,9.58462011
gain,-7.176096863,18.09059821
possess,3.273208356,4.054133833
use,4.130632279,4.105011921
develop,7.60475522,20.30831867
amass,7.748328108,6.028455494
manufacture,5.182355717,3.35047992
retain,-11.01290451,20.14083265
reassert,-9.50442781,22.24686265
re-establish,-10.51772802,21.65929248
regain,-10.29483064,21.44309378
establish,-10.61316816,21.73459902
maintain,-11.70690669,19.96009495
utilize,6.516085183,23.7175747
designate,-10.74000499,22.12538378
incorporate,8.2988861,22.70353657
advertise,6.630101305,2.030057275
popularize,7.113845138,13.33307473
publicize,10.93268623,13.16138481
complement,9.441212512,23.98212197
assemble,12.3073655,10.11766894
organize,12.32531903,11.46070764
reclaim,-11.47904686,24.57251779
prepare,13.01104084,8.886066255
recapture,-11.83588377,25.12567345
arrange,-9.202059338,0.340343017
obtain,-8.786350492,-1.431865213
procure,-8.770160959,-1.520508745
elude,-12.92656949,26.86029843
oversee,19.5599593,12.50216452
supervise,19.71705815,12.58778215
bypass,-9.424366932,-6.607008352
return,-6.999883672,-7.329786778
outrun,-14.62441873,28.9243633
monitor,20.58199175,13.09646467
observe,21.26274131,13.62213339
win,-21.48104309,22.63446469
outdo,-24.20743214,24.43209836
muster,32.61440054,2.940141509
overrule,32.83321692,5.843506763
repeal,32.09247809,4.893801358
declare,23.71185071,7.026760057
veto,34.6448848,3.798775441
vote,35.68453225,3.403512605
ratify,27.53209196,9.088427619
sue,24.07928445,-7.246491958
uphold,32.39344857,12.66414179
forfeit,20.16145964,-5.893569673
solicit,26.01185919,-8.764070393
vacate,18.27764995,-1.904930875
renew,18.67355972,-3.576850493
renounce,14.40326242,3.459446616
surrender,15.82050789,-2.835693218
abandon,13.58957163,4.791701193
forsake,13.32895317,5.200682668
update,31.27112032,12.23978084
adopt,29.37901267,6.628010399
restate,15.90731053,-6.778404428
shelve,24.4304649,11.64280516
negotiate,22.79673626,-7.050609972
propose,32.73257948,5.395571816
renegotiate,21.3889241,-7.259108636
recommend,33.51854512,5.113008962
consider,33.82479806,5.060408158
approve,37.41674541,3.385843962
refresh,33.1457881,13.5378654
recharge,33.44437295,13.75875931
redo,23.17727144,14.28127623
accept,39.85560553,5.333561747
proclaim,34.23100699,19.57968275
disapprove,40.10015187,3.656752336
dismiss,43.1840426,7.414326295
pursue,17.82027631,6.050655572
undertake,18.34352967,6.34353997
affirm,34.59298238,20.36561523
endorse,42.22423708,5.619461666
oppose,42.55384496,5.676957909
reaffirm,35.31849466,20.78673616
vindicate,32.99372472,21.55768875
devise,21.95950311,8.313954068
reiterate,36.19220186,21.26756701
administer,24.36093667,9.231852395
forgo,26.64594519,-17.76395143
reconsider,38.21867403,3.791006484
revisit,40.69385957,4.685077101
reschedule,27.18331068,-19.42783885
re-examine,39.96837393,3.867419572
rethink,39.18911842,2.97938763
reassess,40.09849608,3.254787495
re-evaluate,40.17061529,3.092648729
immortalize,31.34398601,55.79622892
baptize,31.18528722,56.77154462
embroider,34.52359483,54.83153497
embellish,31.79920546,55.17150122
sew,36.9134059,54.98812923
stitch,37.71915351,55.35124147
reinterpret,20.55703009,56.42640472
etch,34.12742545,56.71225167
retrace,34.35650789,42.21242878
enshrine,18.98117299,57.4578301
codify,18.79319178,57.59280373
affix,35.16563829,58.50860413
concoct,17.34564029,42.15079469
situate,18.90477083,37.16825693
hone,36.0403867,39.39113378
flex,35.78155827,41.28376701
reconstruct,21.65249725,33.98908908
refine,36.8503118,36.26429977
tweak,36.92894601,35.98902195
encase,27.06567658,63.47521611
pelt,28.61029302,64.7162987
poach,27.46245714,63.65017255
consign,58.91545423,36.88899853
relegate,58.91620685,36.88725859
re-emerge,-45.35129289,36.4480315
implode,-47.61271147,35.15363639
waver,-48.95619992,37.7286717
coalesce,-48.44209312,40.87818832
reappear,-39.39230227,36.69646361
emerge,-38.57963002,38.43740635
resurface,-39.44425389,36.70635639
subside,-48.44562976,33.28572329
recede,-47.40983911,32.82699099
evolve,-44.06740234,43.58154228
flourish,-42.78747565,43.38275956
perish,-45.11586813,44.69489682
vanish,-40.59807278,32.30871177
disappear,-40.59778093,32.19314287
persevere,-37.22019399,41.08805102
prosper,-42.40972513,43.74984517
wane,-45.4354864,29.47334638
dissipate,-48.89600919,30.72150955
disintegrate,-47.10112524,29.55457676
thrive,-41.36786142,43.99003246
prevail,-36.29858052,40.58851999
deteriorate,-41.72203994,29.10173378
crumble,-47.29078539,29.13577197
erupt,-49.13869569,30.6050656
materialize,-39.59989136,29.05758736
persist,-35.24608343,40.87811582
survive,-40.83805095,43.52168367
happen,-38.6495519,28.96197352
ensue,-49.84279293,30.65431215
behave,-37.77252849,28.73042959
backfire,-50.14788052,30.66278874
recur,-34.01843057,41.2821765
occur,-32.77647651,41.66357619
arise,-32.25848252,41.83544386
overheat,-52.58929962,27.89467092
sap,-51.55461409,25.92449828
converge,-42.39599725,41.99343115
diverge,-42.39424513,42.00277159
blink,-47.70766375,23.34239726
mature,-41.76316765,52.0015766
outgrow,-52.13428416,48.56669143
outlive,-52.19010519,48.66297562
outlast,-52.40338775,48.92809866
cheat,-2.541329367,81.76016931
hide,-1.428669688,80.28744421
disguise,-1.544021528,79.51383895
rob,-5.201402001,84.87810749
steal,-5.183881912,84.90152685
grab,-4.139875845,86.57542776
snatch,-3.170111175,87.55755682
bribe,-17.62409488,88.71752016
extort,-19.12436373,88.88326707
launder,-19.62318199,89.06536294
misrepresent,6.491311353,74.43507655
embezzle,-20.49934054,89.37960222
rationalize,7.93712212,74.5656563
resettle,-24.32884729,86.75229259
repatriate,-24.45356045,86.69490069
overstate,9.927903317,73.4732416
underestimate,11.74412111,72.66269698
overestimate,11.78774115,72.6199813
earmark,-26.52623853,88.94842926
allot,-27.65285236,89.2117287
understate,13.33790219,71.71503598
hate,35.96665003,20.26178145
remind,24.70296821,29.56543743
fail,37.9779216,24.34608934
tell,25.01733293,30.23917711
expect,38.1577635,24.29735816
dare,32.78197695,16.001949
hesitate,32.75643683,15.97806646
deserve,38.39807458,23.80883869
do,39.0029688,23.71131084
wish,39.33771737,22.16208959
need,39.88147801,24.51287066
want,39.76965861,22.23545902
intend,39.96283577,21.37862877
ask,28.72093378,26.76111417
attempt,40.33631253,18.76815911
call,29.19803596,32.17251023
try,40.63756355,19.36924559
decide,28.72303088,26.29674368
execute,41.24982416,19.53648176
prefer,42.02068737,21.928163
choose,28.75742075,25.1123807
await,29.66640427,34.17179653
imagine,15.85467153,25.38436074
envision,15.68335269,26.54778524
foresee,15.62540721,27.48564401
select,28.76119454,24.71357711
bother,17.43586564,21.03571239
anticipate,15.65640089,28.08909323
tend,42.2997178,21.70599041
recall,15.92349005,22.35032997
remember,15.93029484,22.20390328
predict,15.73722663,28.73775923
forget,16.07214155,21.42788707
assign,28.76750221,23.86624116
miss,14.6149792,19.71769355
forgive,14.9133176,20.60023812
articulate,21.45893683,46.0334369
convey,20.77902834,48.12830492
behold,21.60596507,45.43816736
imbue,20.7866335,48.61542048
accentuate,24.77273413,52.82106593
express,18.46908977,48.50236508
clarify,26.62889269,52.05085331
explore,27.04089766,44.57439124
underline,25.62317502,53.00271825
underscore,25.54063563,52.75421872
illustrate,26.23673959,51.89258092
reinforce,26.07878072,55.12743469
ponder,28.13935897,44.4428322
explain,27.1920347,45.50904179
contemplate,28.57866426,44.16777592
relish,29.77705177,43.50654863
amplify,20.2329093,55.48337717
reflect,25.48803345,53.79737638
navigate,23.28639379,38.67091744
underlie,21.31915624,49.01515317
delineate,27.06843053,51.69190603
transcend,21.11116753,46.49848106
rediscover,20.54419969,44.88096892
animate,27.08504339,51.74417449
summarize,20.9723632,33.31883703
interpret,20.9301422,33.30824089
skew,19.61016839,58.62680622
manipulate,17.57221785,58.59186456
visualize,21.54139985,36.9186125
discern,22.95963973,32.47204635
decipher,22.34589605,32.49153068
trace,24.21293748,32.38487433
marvel,18.4083837,40.60312076
glean,21.34887533,32.3857085
grasp,19.2983912,38.63026302
comprehend,20.51071936,37.043932
obliterate,21.6337431,53.7615657
alter,20.77154025,53.92903166
negate,19.4073212,54.37391031
celebrate,44.51116647,50.16294227
commemorate,44.5489512,50.20526367
memorialize,44.63294068,50.28986043
denote,40.48492869,59.95479846
signify,40.74772578,60.1968558
retract,6.948757962,79.03064276
laud,6.546446474,77.35629903
repudiate,7.785237413,78.19468133
recant,5.641423549,86.50290416
belittle,4.018333877,72.90629633
patronize,0.86503572,73.26607956
betray,5.182433419,72.84533396
misunderstand,7.750174717,71.75638532
chastise,6.111127717,89.45298979
castigate,7.078318971,89.42387493
misinterpret,8.382734239,70.34736211
chide,7.635924239,90.81542592
berate,5.394369277,91.3537293
commend,8.626415127,91.0506733
scold,5.061050064,91.88004097
heckle,5.339033823,91.74688129
admonish,4.653879976,92.28223093
taunt,3.75212811,91.96300889
bash,3.165054058,92.15267902
trample,11.1588853,88.16670515
flaunt,1.777506622,74.00739207
brandish,11.27783822,90.57170981
accost,11.15998617,91.23249086
overhear,11.28932111,91.80802933
legislate,10.10602399,68.0884288
indulge,1.56446025,73.71921163
contradict,1.139171373,65.31374525
dabble,1.436793142,73.50330641
implore,2.923634175,94.39673098
exhort,2.784727724,94.60959961
rebut,0.564488449,64.24734431
refute,1.022934585,63.75701368
substantiate,0.5586437,63.03504336
liken,31.97294661,79.30544148
deride,31.45211194,78.81595638
condemn,25.40091262,80.30695113
deplore,30.07363145,77.70857533
denounce,25.29468785,80.71322925
assail,25.49718022,81.93146286
criticize,24.81503961,80.43463517
decry,30.6565447,77.60649478
overlook,24.39586668,80.10527322
ignore,24.01517042,79.78941643
bemoan,30.64169437,77.08869671
tout,39.17042489,71.92757001
shun,22.92200675,78.90023619
extol,38.98760774,72.19357431
eschew,21.90071925,78.10475313
devolve,50.31970872,79.16281137
outscore,47.9865213,78.45044403
trounce,48.19140909,78.39252991
ply,52.40118805,75.53729535
ravage,51.42903772,77.17074918
infest,52.08553416,76.40983191
besiege,51.23774683,77.33419948
destine,68.0656411,69.67165892
predecease,67.89125368,70.11157637
encrust,69.05196812,70.54718469
misidentify,65.25601591,69.61938313
sheathe,68.91470376,68.65519487
entwine,67.5837749,68.52047852
accustom,64.52094851,69.49684589
denominate,70.31631257,70.53927638
rend,66.02909514,73.82873257
motorize,70.77893789,69.39392993
burgeon,71.00522533,71.40899688
fulfil,70.16094917,67.44413349
vend,69.49930596,69.37366139
rove,70.06450017,71.08756536
emblazon,68.98580154,66.41139233
ail,70.99384713,72.61415843
distil,71.68955046,72.03210693
disgruntle,72.25260712,70.10210121
enrol,71.34604396,71.0971251
intersperse,69.81048779,67.85529984
inscribe,68.28507575,65.46675213
engrave,70.07253341,65.8938909
arraign,68.66290923,68.83700407
bequeath,61.82468789,68.58904472
befit,65.46789255,76.03423364
email,72.22742207,71.50005734
interweave,69.90018184,67.68578299
mar,65.28759513,76.60066151
entrust,61.17050971,68.21663743
mishandle,68.16428391,68.08153232
fixate,69.46567967,65.20684196
posit,69.35599305,64.41425586
intertwine,70.12977097,68.29724056
misplace,62.48004694,60.79605705
elapse,62.45092856,60.74084104
induct,57.49609973,72.12033361
christen,57.02303059,72.3380447
moor,78.05853608,62.84610198
engross,55.01403279,77.77760023
mesmerize,53.2571855,77.53699831
surround,49.42260729,53.15112759
inhabit,49.66432118,53.64676429
abut,59.43962061,43.65779322
adjoin,59.79124191,44.13761708
encircle,56.98733753,39.68311625
straddle,58.33419388,38.21306395
cross,58.65283411,37.97061598
traverse,57.74038273,37.69044625
cling,56.75881418,37.57808566
picket,59.69467246,37.03210932
feature,37.00815744,51.10365984
dwarf,37.11536957,51.42100076
strive,58.04943124,51.7732379
aspire,58.05056132,51.74580967
dot,37.43407958,54.4675194
resemble,37.17582399,54.78858339
cater,58.39889388,47.53748489
gravitate,58.38083976,47.41934942
intersect,49.23070207,60.16697234
collide,49.21933782,60.16406086
mimic,37.58818712,56.20468191
punctuate,38.45143129,57.57854262
allude,38.83550837,58.07890883
ascend,60.41576317,28.46362773
descend,60.41475047,28.45171288
exude,53.55252424,66.04281598
crave,53.1731573,66.24115672
teem,61.84806884,64.90267237
radiate,57.55438914,60.48834121
transcribe,62.59698712,66.16798506
lurk,60.05995582,61.15926646
beckon,60.28046006,61.42623175
emanate,58.56474742,59.66698178
predate,50.43938854,67.70539727
resonate,58.4549078,58.52837215
epitomize,49.37537009,67.46462608
toil,59.29315107,66.97261143
graze,62.03731505,65.07726058
embody,48.41517043,66.28704721
roam,61.78339315,63.89373062
congregate,61.49781216,62.42160246
mingle,60.63144563,62.34410594
defy,47.96160893,66.68333258
befall,51.71003792,71.70009249
predominate,58.26493556,63.97152657
relive,55.43614238,72.13057897
excel,57.38431495,67.38882556
tempt,47.48075785,67.42164328
typify,48.41114527,68.17467517
echo,59.26794247,56.65523424
abound,59.86821362,62.71052954
exemplify,47.94626656,67.39364097
imitate,47.21375054,63.47527417
pervade,49.61405777,67.06073062
afflict,48.27740349,69.0749556
permeate,49.75767189,66.92109968
gaze,59.71333314,56.19555421
revel,54.74186708,71.38684962
overlap,59.86914209,62.40327754
sympathize,54.52874571,70.8446834
simulate,46.8946416,62.11381629
gloss,67.71378791,65.43510092
scoff,53.99485842,72.21395911
concur,54.61373951,72.01393798
intrude,52.85777093,73.38900111
encroach,53.03018351,74.97548146
obstruct,50.34558271,73.69784089
peg,68.62820144,58.52815817
espouse,46.60834146,76.92882876
censor,48.81966659,73.89009468
latch,68.6084641,57.87327971
purport,47.10064706,78.50009898
empower,47.61778582,74.05699726
profess,46.5564607,78.19294336
proliferate,59.40035536,66.82174566
interlock,68.99749707,60.53149545
preach,45.71438188,77.84270837
wither,59.09949563,67.75179478
protrude,69.30644946,59.78808106
abdicate,57.09552253,71.27416944
relent,57.26057778,71.01244318
falter,58.99371163,68.04396331
dodge,66.51017104,52.61313274
rumble,68.00112156,54.36291273
swerve,67.71813489,53.89976476
hurl,68.82616772,54.60522183
covet,41.97931771,76.86119136
loathe,44.34629014,80.15514251
detest,43.95116356,79.73082956
dangle,69.88996007,54.99218588
adore,42.7468156,79.69370101
despise,43.92545485,81.22203793
revere,42.4549692,80.24630299
nestle,71.9377581,57.22371605
undulate,70.74560753,58.38651876
pulsate,70.64152518,58.48298375
personify,41.21399434,60.64008195
jut,72.944131,58.06693998
hark,73.54489198,58.47740509
symbolize,41.05414488,60.48097034
idolize,40.59833617,81.70569896
spar,71.50594239,52.96207213
revile,40.06069129,82.18745009
bask,73.65499895,52.42590598
compost,-71.92888272,-25.1578478
sprout,-77.16819414,-30.25492391
bloom,-76.47167908,-30.85111042
blossom,-76.19289598,-31.30721199
bud,-77.11705,-33.2218649
flower,-77.42578549,-34.38371339
heap,-69.49344298,-22.70925052
pile,-69.50976159,-22.41292137
stack,-69.56264495,-21.34936433
double,-88.38628157,-12.0672433
seal,-48.79904596,-31.28731067
nail,-47.54736955,-30.00406086
clamp,-48.67805132,-28.41664977
discard,-54.3462237,-35.51594715
buckle,-45.79432224,-26.64494772
toss,-55.51815445,-36.61048846
pinch,-53.26154986,-40.22157913
filter,-42.07906623,-38.86420319
chop,-56.80365248,-36.9701655
peel,-56.4382517,-37.08549947
scoop,-57.56354732,-36.90558084
wrap,-58.65188678,-37.26289184
drum,-46.96106398,-19.88314062
prop,-46.79551645,-18.1962156
haul,-34.19075184,-42.48239631
load,-33.41690387,-43.96109002
pack,-32.63283359,-44.73195002
rig,-33.32088815,-44.42382996
dredge,-60.75874456,-23.70073846
bog,-61.47256883,-23.92373271
siphon,-62.21936592,-22.04645302
spew,-62.23135148,-22.65255104
seep,-62.18967749,-24.0092583
ooze,-63.11566893,-24.97721148
sift,-57.93527227,-9.933715121
drip,-63.33793655,-25.37752561
droop,-65.69332414,-24.88530824
dig,-55.01140364,-11.28975461
lay,-54.16975726,-11.33655373
taper,-68.79069137,-16.78080737
eke,-68.23275764,-15.80673225
shore,-52.3210528,-11.7043051
ward,-51.73251286,-12.24406315
stave,-51.45776744,-12.51620014
fend,-51.34804344,-12.62096409
suck,-49.34751754,-30.04870856
chew,-49.22290847,-29.99038952
tease,-50.27147017,-30.52219963
spit,-48.95780961,-31.56567624
swallow,-47.37477676,-29.24179786
curl,-54.19872266,-30.12615582
sniff,-47.25701762,-29.2017818
shrug,-50.54859664,-30.67723809
crank,-46.29853373,-28.55844305
pluck,-56.50334381,-28.85155937
lash,-52.16545849,-23.81852223
drown,-52.10590139,-23.35476263
rattle,-51.17186635,-29.81911779
whip,-51.45308471,-24.02424422
choke,-52.32674134,-22.77015642
tick,-44.99083479,-28.19719184
sting,-46.94676876,-22.0752801
clog,-54.637874,-21.91865355
lick,-40.38946717,-31.27944885
rinse,-55.10675265,-36.97174063
gnaw,-60.81149248,-28.41288728
wash,-54.86165507,-37.61532768
mess,-44.30271456,-20.73601753
stick,-47.41459355,-40.3223845
tuck,-49.16399582,-40.46826931
thrash,-54.60203683,-21.41331371
bite,-38.75430394,-30.92232179
bathe,-55.98376928,-38.67526921
burrow,-62.39596857,-28.09438484
mire,-63.0632125,-28.56183887
comb,-47.60170626,-42.79467649
up,-28.08442156,-15.9655238
log,-29.07258912,-16.330534
back,-27.77428013,-17.14078524
blow,-28.11864229,-12.75472384
show,-25.54639516,-14.12098085
shut,-35.31287704,-16.00152031
tear,-35.47114563,-16.68810164
count,-26.80180951,-18.09941166
figure,-24.13024423,-10.89757417
pick,-30.47618652,-8.083905875
lock,-35.21982485,-12.22587632
preside,-25.15725249,-6.84875852
step,-31.40795223,-4.825094367
catch,-27.67462996,-16.13433412
shoot,-27.6396904,-16.47584798
tread,-33.2136526,-2.475869228
sneak,-18.35193351,-17.2371102
hunt,-26.99492231,-17.26537529
wake,-18.30653889,-18.22009847
sign,-19.59777672,-20.50716619
point,-17.91122248,-21.91651132
mark,-17.36769746,-22.85359107
usher,-19.07901805,-18.66081605
phase,-16.64088513,-20.5747779
tap,-41.39149908,-11.7666578
dip,-43.15594139,-13.07582048
beat,-9.125102462,-21.37672336
play,-8.802847794,-20.42972745
pitch,-8.166733833,-21.50531932
exceed,-0.758050301,-20.42248283
surpass,-0.666368775,-21.23375858
match,-0.5926338,-21.91048783
glitter,-3.384132415,-53.08874888
shimmer,-3.427685884,-53.02478355
texture,1.061693794,-55.06773812
flavor,1.177175672,-54.89640663
tint,0.763413428,-56.59294979
taste,2.338792203,-54.20988376
flutter,-8.735099772,-46.8589402
flare,-11.62499785,-46.12538425
reign,-6.334062303,-29.56555622
triumph,-6.101103506,-29.24912784
sweep,-6.51233112,-29.74894503
homer,-5.021829395,-25.66691916
duel,-8.157446235,-31.64233705
foul,-5.115270124,-24.69638567
season,-1.324964285,-27.07530083
sprint,-8.891366333,-32.39110534
last,-0.731794456,-27.06778293
gallop,-9.589712895,-32.59593164
dash,-7.331606537,-30.7504661
round,0.315653198,-27.16809042
relay,-7.958006944,-33.94058877
beset,-30.48612303,-3.205941771
overrun,-30.48593798,-3.206157075
sob,-9.743295297,-11.27902351
wail,-9.841392063,-11.54235607
weep,-8.483107345,-11.75275778
laugh,-8.426387643,-10.31173007
joke,-8.405982673,-10.08304326
hum,-10.08958031,-13.32605609
exclaim,-8.464154988,-6.274796047
fool,-8.444737644,-9.413407452
growl,-10.32652613,-11.62391617
cry,-8.17283699,-5.069006471
whisper,-10.07795268,-10.82796301
roar,-11.00118036,-13.47672428
howl,-10.82760266,-12.54546654
whistle,-8.888662281,-14.39274248
chant,-9.786663234,-9.672361685
shout,-8.218557388,-4.370885797
scream,-8.122819538,-4.242927554
yell,-8.018034134,-3.484343566
cheer,-7.187456855,-3.158499127
boo,-6.903419852,-2.403834548
hug,-9.417565089,-20.08506781
kiss,-9.394080561,-20.28466445
nod,-9.264896087,-21.48511184
smile,-9.020200115,-23.2406574
frown,-8.954586502,-23.85018634
rebel,-2.434667366,-66.35549565
revolt,2.053297148,-66.90994452
war,2.347212792,-67.21491627
massacre,-2.078315127,-69.68953251
conflict,2.594603828,-67.27458224
dispute,3.17380672,-66.00983631
clash,2.271945637,-68.27711041
raid,-4.698416317,-69.56063158
attack,-5.235564528,-69.13634251
ambush,-4.738640179,-70.17926295
crash,-6.770602785,-68.18842711
feud,4.703233188,-67.03460703
mastermind,-4.870917405,-71.21030977
mass,1.778065151,-70.76927625
fight,5.643036271,-64.7003819
battle,5.844953306,-65.13944286
struggle,6.604240795,-65.60124096
bomb,-10.88457297,-70.16806849
detonate,-10.88420124,-70.58790496
blast,-11.24809486,-69.74943529
protest,-0.990369651,-53.95086818
boycott,-0.921067904,-53.99818574
rally,-2.640732132,-52.2823843
assault,26.89290597,-77.64320048
trespass,26.00118511,-79.7217595
neglect,23.17866033,-81.23611391
misuse,23.14994401,-81.68913684
graft,23.91900598,-82.29836987
arrest,28.44830655,-76.3754422
drug,21.34307503,-81.34626623
jail,29.80873583,-74.2811776
bail,30.35828088,-75.04974769
gun,20.27704588,-81.39581183
parole,31.54141321,-72.32169148
term,32.79072969,-70.75172398
police,17.44654485,-81.20088936
patrol,16.92634639,-81.20235214
escort,16.5048225,-81.24639693
hoard,16.97286717,-42.76246908
bid,22.92487935,-46.98578612
stake,22.92291208,-46.96777815
deposit,16.26151814,-43.12235611
cash,16.15758317,-41.90449689
loan,17.22579151,-41.94173435
exchange,15.03587682,-41.72034707
default,16.21710177,-44.58075922
repurchase,16.47226796,-40.21972802
refund,20.69905025,-38.75514277
venture,23.85415194,-47.00203655
hedge,22.42398179,-46.04255843
share,15.12735222,-41.31033865
fund,22.11710374,-45.26287321
bank,21.53771499,-44.70658104
reserve,12.6650292,-38.66446085
wage,24.84997643,-37.76987845
discipline,20.15371789,-48.2564646
syndicate,24.79477649,-45.3275374
tax,25.79362495,-37.4529055
labor,18.83495904,-48.82042129
contract,12.83419641,-37.18272424
trade,18.33256838,-49.18140509
excise,26.33704576,-37.43310873
lease,11.87072892,-36.4508248
rent,11.55503199,-36.22257175
levy,27.3560253,-37.41581683
grant,24.26990795,-33.47568217
sum,17.73468575,-56.7986448
lump,17.83311257,-56.79450422
bundle,18.18108864,-56.73246969
stretch,-2.136436226,-63.77461196
beam,-6.282572351,-67.26446734
line,0.087522433,-64.87160028
hole,-4.095424179,-66.10233996
trail,0.937693809,-65.93279723
wall,-5.465267266,-67.20293575
bottom,-2.842259165,-65.87318179
fence,-5.340585752,-67.05557154
ditch,-6.377296268,-66.76469714
base,2.428105422,-63.03745219
fan,3.713926067,-63.04449764
plate,-0.015462718,-60.13594364
pit,-7.369312183,-66.49095171
batter,-0.060962739,-59.81880401
barricade,-7.723443009,-69.61493347
bat,-0.30572279,-58.76813441
crest,-8.620721874,-65.58762459
rear,-8.24967727,-71.91563085
deck,-8.305848296,-72.08838734
edge,-1.348849094,-73.71974644
side,-2.676738364,-74.2159631
foot,-4.944903492,-74.76336675
flank,-6.278378818,-75.52314887
slap,-6.535040533,-52.47000594
swipe,-5.409008409,-51.57872471
stab,-8.29699972,-53.15225527
snag,-4.456611591,-50.67548931
sideline,4.484699518,-54.21886433
field,6.301164642,-55.13752856
track,7.54954637,-55.3467539
distance,8.965081841,-55.55473735
patch,-12.84855268,-73.99212247
tattoo,-10.80405274,-74.49343136
blindfold,-10.88014995,-74.50756117
warrant,54.62409527,-15.69722849
file,55.98921695,-11.39172519
charge,54.73634555,-15.8043939
submit,55.84092224,-11.23064522
commit,55.44699362,-15.60093447
omit,57.80088291,-11.21289229
publish,55.40134559,-9.462248682
document,55.90032885,-18.55547773
mention,58.49283005,-11.89981654
request,53.98279298,-21.55306777
letter,55.36466401,-19.67194054
address,58.5869581,-12.74109591
answer,58.55318859,-13.80145051
reply,58.44790279,-14.24871477
copy,55.81555224,-20.47922304
note,53.44110104,-19.81486467
release,48.37407453,-16.059168
account,49.44912705,-18.22459681
report,48.70888483,-17.76563206
estimate,49.38144062,-18.98470415
date,47.11929196,-14.11563795
forecast,49.37134107,-19.09145075
notice,46.95372448,-14.20533002
bound,46.59531412,-13.93254966
downgrade,46.55370723,-19.11738219
matter,68.90999224,-27.51503609
question,68.87172472,-27.61761802
reissue,65.80672169,0.411270552
reprint,65.84853738,0.533123265
subject,67.96370839,-29.70665586
issue,68.29572699,-29.28321494
debate,68.32821476,-29.40135271
co-produce,66.33092649,1.985506595
narrate,67.27766037,6.450680508
dub,67.56732762,6.987088501
mistake,29.02160088,-25.49122062
reason,29.76995381,-27.07678961
excuse,29.24392066,-27.4244784
result,29.07519495,-21.35429865
impact,30.31780152,-22.55194434
progress,32.15211788,-22.10708922
caution,36.90012721,-20.20493928
lack,37.48518216,-21.37967952
err,36.98405247,-20.16139689
factor,29.92793974,-23.99822755
function,18.97065103,-20.49377567
fit,18.83824399,-22.18368631
part,18.14235087,-23.97616201
fear,38.34154057,-20.46248742
benefit,17.52423655,-22.92887739
work,18.42354045,-24.17579111
reap,17.21470016,-22.46746317
approach,29.05562197,-16.88171377
risk,28.45645781,-23.60951466
accrue,16.12051822,-20.99368512
burden,27.5723497,-23.90841233
form,24.00199515,-13.70276167
aim,28.0566115,-14.47512292
target,27.89304347,-14.19631817
blame,38.32208334,-10.51836842
regret,40.81604641,-17.84625482
sort,23.58005944,-13.0933531
schedule,23.71541486,-33.27410438
fault,39.37993776,-11.37540049
type,23.87294771,-12.97993351
look,19.24973791,-13.1769953
like,20.17714377,-12.25903136
evidence,43.4329714,-15.48798386
doubt,43.04419315,-14.72246639
resent,55.87939678,-7.940342312
dislike,55.82168889,-7.712781745
scorn,55.76902546,-7.463440976
recoil,55.93349724,-3.684900826
tremble,55.92037651,-2.882965232
strut,55.91974334,-2.232639243
bet,72.41570262,0.438476367
wager,72.93919733,-0.020226067
gamble,73.36405566,-0.390518331
assure,72.12543457,15.2411986
insure,71.51733131,15.25579223
ensure,71.4282073,15.25753555
guarantee,73.1993283,15.21610689
threaten,-36.27773276,40.33623545
endanger,-38.66345861,37.38475821
dominate,-32.20055927,46.49161993
circumvent,-33.67290455,35.26766678
bombard,-28.0727787,54.56968635
engulf,-28.52846891,54.92474624
evade,-33.6573214,34.66041038
inflict,-45.60539998,30.78712993
devour,-31.56701452,54.24714235
consume,-32.06531315,54.53031773
enlist,-55.69037177,40.95782911
feign,-57.87875834,55.98764081
douse,-51.46560418,57.9827743
instigate,-55.42289822,51.94643069
reunite,-40.31091055,35.9030835
hound,-44.70098203,62.63641024
avenge,-33.57061526,42.67841735
insinuate,-55.66634287,77.47270229
impersonate,-41.66743008,72.54635029
occupy,7.944094961,26.71327404
bury,1.261405589,32.32680833
hire,14.60236473,32.04481659
recruit,14.77445035,32.03139183
rehire,14.36686334,34.42711044
furnish,9.420858444,20.68538027
enclose,20.22406101,28.72295503
adorn,19.65379115,28.04814716
