abandon,13.5895716346,4.79170119261,-59.2187244722
abate,-48.9322815053,33.4353934792,52.7915813657
abbreviate,30.1995487949,54.8588398382,-36.3272862251
abdicate,57.0955225309,71.2741694382,38.6504074374
abduct,-23.4896670139,68.6742689219,-35.2964216506
abet,-3.96956798158,55.6404490079,-62.8285520594
abide,-21.4441666512,61.5983245687,18.7934460933
abolish,-45.1837351582,-1.56990091712,-41.0992624934
abort,-10.5927525108,31.9812353553,-59.5561788806
abound,59.8682136239,62.7105295387,31.2399741742
absolve,-22.2961204805,69.8744531604,-10.7776749642
absorb,-40.6323877789,31.5870013772,-8.61477734901
abstain,-36.9549851014,37.62757191,22.6668598532
abuse,23.3762062326,-81.5530215801,-25.7623221956
abut,59.4396206134,43.6577932176,27.9701373635
accede,-33.2010127879,70.9581544223,25.7138880454
accelerate,-46.3100390214,0.0217641149418,-61.9635774946
accent,26.5738007458,-52.6656286517,46.8539796659
accentuate,24.7727341274,52.8210659254,-1.3206859679
accept,39.85560553,5.33356174675,-47.521974754
access,11.0347975169,-37.428022176,-12.5555871831
acclaim,38.0302213281,-52.4742444537,51.4616141989
accommodate,58.7185308537,26.6652326842,-10.5641464244
accompany,-31.1292658947,28.3372462051,12.8546432741
accomplish,-5.14173597723,31.3935922475,-7.80152429345
accord,43.7763891262,-31.8844690711,-31.9096783844
accost,11.1599861693,91.2324908621,-33.1510888943
account,49.4491270528,-18.22459681,-3.42674947291
accredit,7.96049387785,48.4163360477,-58.3609336228
accrue,16.1205182231,-20.9936851177,17.4716594481
accumulate,31.5536505777,38.4017237084,32.4612169852
accuse,-29.8410278331,65.334452402,-6.70091270064
accustom,64.5209485065,69.4968458862,-27.4849198698
achieve,-5.58319267239,30.9075365724,-8.60214713923
acknowledge,24.7064807941,31.924279933,58.040984373
acquaint,7.98594187174,37.4525107958,-43.0776855037
acquiesce,-33.1106218563,70.8788369362,24.7862079567
acquire,4.53526557036,-31.5574075394,-44.464093384
